week,rate_30yr_fixed,rate_15yr_fixed
2024-09-26,6.08,5.16
2024-10-03,6.12,5.25
2024-10-10,6.32,5.41
2024-10-17,6.44,5.63
2024-10-24,6.54,5.71
2024-10-31,6.72,5.99
2024-11-07,6.79,6.0
2024-11-14,6.78,5.99
2024-11-21,6.84,6.02
2024-11-27,6.81,6.1
2024-12-05,6.69,5.96
2024-12-12,6.6,5.84
2024-12-19,6.72,5.92
2024-12-26,6.85,6.0
2025-01-02,6.91,6.13
2025-01-09,6.93,6.14
2025-01-16,7.04,6.27
2025-01-23,6.96,6.16
2025-01-30,6.95,6.12
2025-02-06,6.89,6.05
2025-02-13,6.87,6.09
2025-02-20,6.85,6.04
2025-02-27,6.76,5.94
2025-03-06,6.63,5.79
2025-03-13,6.65,5.8
2025-03-20,6.67,5.83
2025-03-27,6.65,5.89
2025-04-03,6.64,5.82
2025-04-10,6.62,5.82
2025-04-17,6.83,6.03
2025-04-24,6.81,5.94
2025-05-01,6.76,5.92
2025-05-08,6.76,5.89
2025-05-15,6.81,5.92
2025-05-22,6.86,6.01
2025-05-29,6.89,6.03
2025-06-05,6.85,5.99
2025-06-12,6.84,5.97
2025-06-18,6.81,5.96
2025-06-26,6.77,5.89
2025-07-03,6.67,5.8
2025-07-10,6.72,5.86
2025-07-17,6.75,5.92
2025-07-24,6.74,5.87
2025-07-31,6.72,5.85
2025-08-07,6.63,5.75
2025-08-14,6.58,5.71
2025-08-21,6.58,5.69
2025-08-28,6.56,5.69
2025-09-04,6.5,5.6
2025-09-11,6.35,5.5
2025-09-18,6.26,5.41
2025-09-25,6.3,5.49
2025-10-02,6.34,5.55
2025-10-09,6.3,5.53
2025-10-16,6.27,5.52
2025-10-23,6.19,5.44
2025-10-30,6.17,5.41
2025-11-06,6.22,5.5
2025-11-13,6.24,5.49
2025-11-20,6.26,5.54
2025-11-26,6.23,5.51
2025-12-04,6.19,5.44
2025-12-11,6.22,5.54
2025-12-18,6.21,5.47
2025-12-24,6.18,5.5
2025-12-31,6.15,5.44
2026-01-08,6.16,5.46
2026-01-15,6.06,5.38
2026-01-22,6.09,5.44
2026-01-29,6.1,5.49
2026-02-05,6.11,5.5
2026-02-12,6.09,5.44
2026-02-19,6.01,5.35
2026-02-26,5.98,5.44
2026-03-05,6.0,5.43
2026-03-12,6.11,5.5
2026-03-19,6.22,5.54
2026-03-26,6.38,5.75
2026-04-02,6.46,5.77
2026-04-09,6.37,5.74
2026-04-16,6.3,5.65
2026-04-23,6.23,5.58
2026-04-30,6.3,5.64
2026-05-07,6.37,5.72
2026-05-14,6.36,5.71
2026-05-21,6.51,5.85
2026-05-28,6.53,5.87
2026-06-04,6.48,5.79
2026-06-11,6.52,5.84
2026-06-18,6.47,5.81
2026-06-25,6.49,5.84
2026-07-02,6.43,5.79
2026-07-09,6.49,5.82
2026-07-16,6.55,5.93
2026-07-23,6.58,5.96
2026-07-30,6.66,6.04
2026-08-06,6.69,6.01
2026-08-13,6.67,5.96
2026-08-20,6.65,5.95
2026-08-27,6.66,5.98
2026-09-03,6.71,6.04
2026-09-10,6.76,6.09
2026-09-17,6.95,6.26
