year,filing_status,from,to,rate
2026,single,0,12400,0.1
2026,single,12400,50400,0.12
2026,single,50400,105700,0.22
2026,single,105700,201775,0.24
2026,single,201775,256225,0.32
2026,single,256225,640600,0.35
2026,single,640600,,0.37
2026,married,0,24800,0.1
2026,married,24800,100800,0.12
2026,married,100800,211400,0.22
2026,married,211400,403550,0.24
2026,married,403550,512450,0.32
2026,married,512450,768700,0.35
2026,married,768700,,0.37
2026,head,0,17700,0.1
2026,head,17700,67450,0.12
2026,head,67450,105700,0.22
2026,head,105700,201775,0.24
2026,head,201775,256225,0.32
2026,head,256225,640600,0.35
2026,head,640600,,0.37
2026,separate,0,12400,0.1
2026,separate,12400,50400,0.12
2026,separate,50400,105700,0.22
2026,separate,105700,201775,0.24
2026,separate,201775,256225,0.32
2026,separate,256225,384350,0.35
2026,separate,384350,,0.37
