area,name,median_home_value,median_property_tax,principal_interest_mo,property_tax_mo,insurance_mo,piti_mo,income_needed,take_home_mo_at_that_income,payment_share_of_take_home_pct
AK,Alaska,376500,3976,1994,331,110,2435,104354,6854,35.5
AL,Alabama,233300,890,1235,74,68,1378,59043,3930,35.1
AR,Arkansas,215600,1113,1142,93,63,1297,55601,3742,34.7
AZ,Arizona,426000,1828,2256,152,124,2533,108536,6906,36.7
CA,California,759500,5369,4022,447,222,4691,201040,11052,42.4
CO,Colorado,574600,2828,3043,236,168,3446,147690,8813,39.1
CT,Connecticut,396900,6573,2102,548,116,2765,118514,7146,38.7
DC,District of Columbia,733400,4594,3884,383,214,4481,192022,10802,41.5
DE,Delaware,371600,1750,1968,146,108,2222,95231,5907,37.6
FL,Florida,396900,2993,2102,249,116,2467,105728,6934,35.6
GA,Georgia,343300,2554,1818,213,100,2131,91326,5772,36.9
HI,Hawaii,875900,2385,4638,199,255,5093,218255,12208,41.7
IA,Iowa,227300,2937,1204,245,66,1515,64917,4377,34.6
ID,Idaho,446400,1912,2364,159,130,2653,113721,6993,37.9
IL,Illinois,280700,5399,1486,450,82,2018,86497,5462,37.0
IN,Indiana,243500,1798,1289,150,71,1510,64728,4359,34.6
KS,Kansas,238700,2983,1264,249,70,1582,67811,4463,35.5
KY,Kentucky,226000,1611,1197,134,66,1397,59870,4026,34.7
LA,Louisiana,223200,1187,1182,99,65,1346,57685,3932,34.2
MA,Massachusetts,607400,6080,3217,507,177,3900,167158,9726,40.1
MD,Maryland,436300,4144,2310,345,127,2783,119274,7277,38.2
ME,Maine,341900,3103,1811,259,100,2169,92951,5802,37.4
MI,Michigan,254200,2988,1346,249,74,1669,71541,4697,35.5
MN,Minnesota,344600,3501,1825,292,101,2217,95019,5860,37.8
MO,Missouri,254400,2021,1347,168,74,1590,68135,4545,35.0
MS,Mississippi,186500,1221,988,102,54,1144,49019,3362,34.0
MT,Montana,425400,2939,2253,245,124,2622,112360,6907,38.0
NC,North Carolina,333000,2044,1763,170,97,2031,87038,5591,36.3
ND,North Dakota,266100,2550,1409,212,78,1699,72826,4992,34.0
NE,Nebraska,263100,3739,1393,312,77,1782,76354,4996,35.7
NH,New Hampshire,458800,6707,2430,559,134,3122,133815,8561,36.5
NJ,New Jersey,496000,9358,2627,780,145,3551,152190,8913,39.8
NM,New Mexico,279900,1776,1482,148,82,1712,73366,4847,35.3
NV,Nevada,455500,2143,2412,179,133,2724,116725,7579,35.9
NY,New York,449800,6542,2382,545,131,3058,131071,7809,39.2
OH,Ohio,239800,2937,1270,245,70,1585,67910,4626,34.3
OK,Oklahoma,222100,1672,1176,139,65,1380,59154,3966,34.8
OR,Oregon,497500,3895,2635,325,145,3104,133039,7574,41.0
PA,Pennsylvania,277600,3214,1470,268,81,1819,77951,5102,35.7
RI,Rhode Island,455700,4886,2413,407,133,2953,126569,7684,38.4
SC,South Carolina,299500,1337,1586,111,87,1785,76491,4973,35.9
SD,South Dakota,289600,2940,1534,245,84,1863,79846,5417,34.4
TN,Tennessee,332600,1488,1761,124,97,1982,84957,5716,34.7
TX,Texas,313200,4108,1659,342,91,2092,89668,5993,34.9
UT,Utah,545200,2648,2887,221,159,3267,140007,8394,38.9
VA,Virginia,403500,2872,2137,239,118,2494,106877,6557,38.0
VT,Vermont,352800,5026,1868,419,103,2390,102429,6382,37.4
WA,Washington,602200,4729,3189,394,176,3759,161088,9928,37.9
WI,Wisconsin,294700,3680,1561,307,86,1953,83710,5355,36.5
WV,West Virginia,170800,881,904,73,50,1028,44045,3031,33.9
WY,Wyoming,339500,1947,1798,162,99,2059,88248,5909,34.8
new-york-city,"New York City, NY",778600,6669,4123,556,227,4906,210256,11412,43.0
los-angeles,"Los Angeles, CA",947900,6146,5020,512,276,5808,248928,13361,43.5
chicago,"Chicago, IL",341200,5152,1807,429,100,2336,100102,6203,37.7
houston,"Houston, TX",301200,4308,1595,359,88,2042,87509,5866,34.8
phoenix,"Phoenix, AZ",454900,1816,2409,151,133,2693,115413,7295,36.9
philadelphia,"Philadelphia, PA",253600,2100,1343,175,74,1592,68225,4344,36.6
san-antonio,"San Antonio, TX",260900,4026,1382,336,76,1793,76852,5241,34.2
san-diego,"San Diego, CA",980700,6111,5193,509,286,5989,256657,13716,43.7
dallas,"Dallas, TX",340400,4943,1803,412,99,2314,99164,6549,35.3
san-jose,"San Jose, CA",1271200,9495,6732,791,371,7894,338304,17297,45.6
austin,"Austin, TX",571000,7468,3024,622,167,3813,163399,10246,37.2
jacksonville,"Jacksonville, FL",325300,2497,1723,208,95,2026,86812,5825,34.8
san-francisco,"San Francisco, CA",1314700,10001,6962,833,383,8179,350527,17827,45.9
columbus,"Columbus, OH",279900,3559,1482,297,82,1860,79734,5126,36.3
charlotte,"Charlotte, NC",431900,2975,2287,248,126,2661,114045,7085,37.6
indianapolis,"Indianapolis, IN",241500,2248,1279,187,70,1537,65857,4321,35.6
seattle,"Seattle, WA",950800,7503,5035,625,277,5938,254469,15263,38.9
denver,"Denver, CO",636400,3071,3370,256,186,3812,163356,9642,39.5
washington-dc,"Washington, DC, DC",733400,4594,3884,383,214,4481,192022,10802,41.5
boston,"Boston, MA",722800,4447,3828,371,211,4409,188959,10893,40.5
nashville,"Nashville, TN",438800,2471,2324,206,128,2658,113897,7413,35.9
detroit,"Detroit, MI",95900,1415,508,118,28,654,28017,1922,34.0
portland,"Portland, OR",588200,5925,3115,494,172,3780,162007,8856,42.7
las-vegas,"Las Vegas, NV",458300,2229,2427,186,134,2746,117702,7636,36.0
atlanta,"Atlanta, GA",462200,4663,2448,389,135,2971,127329,7724,38.5
miami,"Miami, FL",598200,5120,3168,427,174,3769,161527,10139,37.2
minneapolis,"Minneapolis, MN",368300,4471,1950,373,107,2430,104159,6341,38.3
baltimore,"Baltimore, MD",247400,3468,1310,289,72,1671,71627,4491,37.2
pittsburgh,"Pittsburgh, PA",220400,1741,1167,145,64,1377,58993,3830,35.9
cleveland,"Cleveland, OH",109600,1695,580,141,32,754,32298,2268,33.2
louisville,"Louisville, KY",241700,2043,1280,170,70,1521,65172,4246,35.8
