city,name,salary,take_home_mo,fmr_studio,fmr_1bed,fmr_2bed,left_after_1bed_mo,rent_share_of_take_home_pct,salary_needed_1bed,salary_needed_2bed
new-york-city,"New York City, NY",40000,2619,2529,2655,2910,-36,101.4,160327,177741
new-york-city,"New York City, NY",50000,3208,2529,2655,2910,553,82.8,160327,177741
new-york-city,"New York City, NY",60000,3797,2529,2655,2910,1142,69.9,160327,177741
new-york-city,"New York City, NY",70000,4357,2529,2655,2910,1702,60.9,160327,177741
new-york-city,"New York City, NY",75000,4609,2529,2655,2910,1954,57.6,160327,177741
new-york-city,"New York City, NY",80000,4862,2529,2655,2910,2207,54.6,160327,177741
new-york-city,"New York City, NY",90000,5367,2529,2655,2910,2712,49.5,160327,177741
new-york-city,"New York City, NY",100000,5869,2529,2655,2910,3214,45.2,160327,177741
new-york-city,"New York City, NY",120000,6879,2529,2655,2910,4224,38.6,160327,177741
new-york-city,"New York City, NY",150000,8346,2529,2655,2910,5691,31.8,160327,177741
los-angeles,"Los Angeles, CA",40000,2768,1863,2085,2601,683,75.3,117699,153297
los-angeles,"Los Angeles, CA",50000,3389,1863,2085,2601,1304,61.5,117699,153297
los-angeles,"Los Angeles, CA",60000,3998,1863,2085,2601,1913,52.2,117699,153297
los-angeles,"Los Angeles, CA",70000,4566,1863,2085,2601,2481,45.7,117699,153297
los-angeles,"Los Angeles, CA",75000,4820,1863,2085,2601,2735,43.3,117699,153297
los-angeles,"Los Angeles, CA",80000,5073,1863,2085,2601,2988,41.1,117699,153297
los-angeles,"Los Angeles, CA",90000,5571,1863,2085,2601,3486,37.4,117699,153297
los-angeles,"Los Angeles, CA",100000,6069,1863,2085,2601,3984,34.4,117699,153297
los-angeles,"Los Angeles, CA",120000,7065,1863,2085,2601,4980,29.5,117699,153297
los-angeles,"Los Angeles, CA",150000,8511,1863,2085,2601,6426,24.5,117699,153297
chicago,"Chicago, IL",40000,2707,1480,1581,1781,1126,58.4,82974,95207
chicago,"Chicago, IL",50000,3335,1480,1581,1781,1754,47.4,82974,95207
chicago,"Chicago, IL",60000,3964,1480,1581,1781,2383,39.9,82974,95207
chicago,"Chicago, IL",70000,4563,1480,1581,1781,2982,34.6,82974,95207
chicago,"Chicago, IL",75000,4835,1480,1581,1781,3254,32.7,82974,95207
chicago,"Chicago, IL",80000,5108,1480,1581,1781,3527,31.0,82974,95207
chicago,"Chicago, IL",90000,5653,1480,1581,1781,4072,28.0,82974,95207
chicago,"Chicago, IL",100000,6198,1480,1581,1781,4617,25.5,82974,95207
chicago,"Chicago, IL",120000,7288,1480,1581,1781,5707,21.7,82974,95207
chicago,"Chicago, IL",150000,8876,1480,1581,1781,7295,17.8,82974,95207
houston,"Houston, TX",40000,2860,1280,1323,1573,1537,46.3,63149,76887
houston,"Houston, TX",50000,3530,1280,1323,1573,2207,37.5,63149,76887
houston,"Houston, TX",60000,4199,1280,1323,1573,2876,31.5,63149,76887
houston,"Houston, TX",70000,4840,1280,1323,1573,3517,27.3,63149,76887
houston,"Houston, TX",75000,5133,1280,1323,1573,3810,25.8,63149,76887
houston,"Houston, TX",80000,5426,1280,1323,1573,4103,24.4,63149,76887
houston,"Houston, TX",90000,6012,1280,1323,1573,4689,22.0,63149,76887
houston,"Houston, TX",100000,6598,1280,1323,1573,5275,20.1,63149,76887
houston,"Houston, TX",120000,7771,1280,1323,1573,6448,17.0,63149,76887
houston,"Houston, TX",150000,9483,1280,1323,1573,8160,14.0,63149,76887
phoenix,"Phoenix, AZ",40000,2810,1457,1583,1839,1227,56.3,79716,94808
phoenix,"Phoenix, AZ",50000,3459,1457,1583,1839,1876,45.8,79716,94808
phoenix,"Phoenix, AZ",60000,4108,1457,1583,1839,2525,38.5,79716,94808
phoenix,"Phoenix, AZ",70000,4727,1457,1583,1839,3144,33.5,79716,94808
