state,name,state_rate,official_lookup
AK,Alaska,0,https://www.commerce.alaska.gov/web/dcra/OfficeoftheStateAssessor/AlaskaTaxableDatabase.aspx
AL,Alabama,4.0,https://www.revenue.alabama.gov/sales-use/tax-rates/
AR,Arkansas,6.5,https://www.dfa.arkansas.gov/excise-tax/sales-and-use-tax/local-sales-and-use-tax-information/
AZ,Arizona,5.6,https://azdor.gov/transaction-privilege-tax/tax-rate-table
CA,California,7.25,https://www.cdtfa.ca.gov/taxes-and-fees/rates.aspx
CO,Colorado,2.9,https://tax.colorado.gov/sales-tax-rate-lookup
CT,Connecticut,6.35,
DC,District of Columbia,6.0,
DE,Delaware,0,
FL,Florida,6.0,https://floridarevenue.com/taxes/taxesfees/Pages/sales_tax.aspx
GA,Georgia,4.0,https://dor.georgia.gov/sales-tax-rates-general
HI,Hawaii,4.0,https://tax.hawaii.gov/geninfo/get/
IA,Iowa,6.0,https://tax.iowa.gov/
ID,Idaho,6.0,https://tax.idaho.gov/taxes/sales-use/
IL,Illinois,6.25,https://mytax.illinois.gov/_/
IN,Indiana,7.0,
KS,Kansas,6.5,https://www.ksrevenue.gov/
KY,Kentucky,6.0,
LA,Louisiana,5.0,https://revenue.louisiana.gov/SalesTax
MA,Massachusetts,6.25,
MD,Maryland,6.0,
ME,Maine,5.5,
MI,Michigan,6.0,
MN,Minnesota,6.875,https://www.revenue.state.mn.us/sales-tax-rate-calculator
MO,Missouri,4.225,https://dor.mo.gov/taxation/business/tax-types/sales-use/rate-tables/
MS,Mississippi,7.0,https://www.dor.ms.gov/business/sales-and-use-tax
MT,Montana,0,
NC,North Carolina,4.75,https://www.ncdor.gov/taxes-forms/sales-and-use-tax/sales-and-use-tax-rates
ND,North Dakota,5.0,https://www.tax.nd.gov/business/sales-and-use-tax
NE,Nebraska,5.5,https://revenue.nebraska.gov/
NH,New Hampshire,0,
NJ,New Jersey,6.625,
NM,New Mexico,4.875,https://www.tax.newmexico.gov/governments/gross-receipts-location-code-and-tax-rate-map/
NV,Nevada,6.85,https://tax.nv.gov/
NY,New York,4.0,https://www.tax.ny.gov/pubs_and_bulls/publications/sales_pubs.htm
OH,Ohio,5.75,https://thefinder.tax.ohio.gov/
OK,Oklahoma,4.5,https://oklahoma.gov/tax/businesses/sales-use-tax.html
OR,Oregon,0,
PA,Pennsylvania,6.0,https://www.pa.gov/agencies/revenue/resources/tax-types-and-information/sales-use-and-hotel-occupancy-tax.html
RI,Rhode Island,7.0,
SC,South Carolina,6.0,https://dor.sc.gov/tax/sales
SD,South Dakota,4.2,https://dor.sd.gov/businesses/taxes/sales-use-tax/
TN,Tennessee,7.0,https://www.tn.gov/revenue/taxes/sales-and-use-tax/local-sales-tax.html
TX,Texas,6.25,https://comptroller.texas.gov/taxes/sales/
UT,Utah,6.1,https://tax.utah.gov/sales/rates
VA,Virginia,5.3,https://www.tax.virginia.gov/retail-sales-and-use-tax
VT,Vermont,6.0,https://tax.vermont.gov/business/sales-and-use-tax
WA,Washington,6.5,https://dor.wa.gov/taxes-rates/sales-and-use-tax-rates
WI,Wisconsin,5.0,https://www.revenue.wi.gov/Pages/FAQS/pcs-taxrates.aspx
WV,West Virginia,6.0,https://tax.wv.gov/Business/SalesAndUseTax/Pages/SalesAndUseTax.aspx
WY,Wyoming,4.0,https://revenue.wyo.gov/
