state,name,type,top_rate,brackets,std_deduction_single,std_deduction_married,personal_exemption,as_of,has_local_income_tax,source
AK,Alaska,none,0,0,,,,2026,False,
AL,Alabama,progressive,0.05,3,,,1500,2026,True,
AR,Arkansas,progressive,0.039,2,2470,4940,,2026,False,
AZ,Arizona,flat,0.025,1,federal,,,2026,False,
CA,California,progressive,0.133,10,5706,11412,,2026,False,"EDD 2026 Method B thresholds ÷ 1.1 (statutory rates); std $5,706/$11,412; exemption credit $153; SDI 1.3%"
CO,Colorado,flat,0.044,1,federal,,,2026,False,
CT,Connecticut,progressive,0.0699,7,,,,2026,False,
DC,District of Columbia,progressive,0.1075,7,federal,,,2026,False,
DE,Delaware,progressive,0.066,7,3250,6500,,2025,True,
FL,Florida,none,0,0,,,,2026,False,
GA,Georgia,flat,0.0499,1,15000,30000,,2026,False,
HI,Hawaii,progressive,0.11,12,4400,8800,1144,2026,False,
IA,Iowa,flat,0.038,1,federal,,,2026,False,
ID,Idaho,progressive,0.053,2,federal,,,2026,False,
IL,Illinois,flat,0.0495,1,,,2925,2026,False,
IN,Indiana,flat,0.0295,1,,,1000,2026,True,
KS,Kansas,progressive,0.0558,2,3605,8240,9160,2025,False,
KY,Kentucky,flat,0.035,1,3360,6720,,2026,True,
LA,Louisiana,flat,0.03,1,12875,25750,,2026,False,
MA,Massachusetts,progressive,0.09,2,,,4400,2026,False,
MD,Maryland,progressive,0.065,10,,,,2025,True,
ME,Maine,progressive,0.0715,3,federal,,5300,2026,False,
MI,Michigan,flat,0.0425,1,,,5900,2026,True,
MN,Minnesota,progressive,0.0985,4,15300,30600,,2026,False,
MO,Missouri,progressive,0.047,8,federal,,,2026,True,
MS,Mississippi,progressive,0.04,2,2300,4600,6000,2026,False,
MT,Montana,progressive,0.0565,2,federal,,,2026,False,
NC,North Carolina,flat,0.0399,1,12750,25500,,2026,False,
ND,North Dakota,progressive,0.025,3,federal,,,2025,False,
NE,Nebraska,progressive,0.0455,3,8850,17700,,2026,False,
NH,New Hampshire,none,0,0,,,,2026,False,
NJ,New Jersey,progressive,0.1075,7,,,1000,2026,False,
NM,New Mexico,progressive,0.059,6,federal,,,2025,False,
NV,Nevada,none,0,0,,,,2026,False,
NY,New York,progressive,0.109,9,8000,16050,,2026,True,
OH,Ohio,progressive,0.0275,2,,,,2026,True,
OK,Oklahoma,progressive,0.045,4,6350,12700,1000,2026,False,
OR,Oregon,progressive,0.099,4,2910,5820,,2026,True,
PA,Pennsylvania,flat,0.0307,1,,,,2026,True,
RI,Rhode Island,progressive,0.0599,3,11200,22400,5250,2026,False,
SC,South Carolina,progressive,0.06,3,federal,,,2026,False,
SD,South Dakota,none,0,0,,,,2026,False,
TN,Tennessee,none,0,0,,,,2026,False,
TX,Texas,none,0,0,,,,2026,False,
UT,Utah,flat,0.0445,1,,,,2026,False,
VA,Virginia,progressive,0.0575,4,8750,17500,930,2026,False,
VT,Vermont,progressive,0.0875,4,7650,15300,5300,2026,False,
WA,Washington,none,0,0,,,,2026,False,
WI,Wisconsin,progressive,0.0765,4,,,700,2026,False,
WV,West Virginia,progressive,0.0458,5,,,2000,2026,False,
WY,Wyoming,none,0,0,,,,2026,False,
