state,name,salary,filing,federal_tax,fica,state_tax,state_payroll_taxes,total_tax,net_pay,effective_rate_pct,rank
AL,Alabama,40000,single,2620,3060,1629,0,7309,32691,18.27,46
AK,Alaska,40000,single,2620,3060,0,0,5680,34320,14.2,1
AZ,Arizona,40000,single,2620,3060,597.5,0,6277.5,33722.5,15.69,12
AR,Arkansas,40000,single,2620,3060,1347.27,0,7027.27,32972.73,17.57,37
CA,California,40000,single,2620,3060,582.69,520,6782.69,33217.31,16.96,28
CO,Colorado,40000,single,2620,3060,1051.6,180,6911.6,33088.4,17.28,31
CT,Connecticut,40000,single,2620,3060,1325,200,7205,32795,18.01,43
DE,Delaware,40000,single,2620,3060,1543.12,0,7223.12,32776.88,18.06,45
DC,District of Columbia,40000,single,2620,3060,1234,0,6914,33086,17.29,32
FL,Florida,40000,single,2620,3060,0,0,5680,34320,14.2,2
GA,Georgia,40000,single,2620,3060,1247.5,0,6927.5,33072.5,17.32,33
HI,Hawaii,40000,single,2620,3060,1570.21,200,7450.21,32549.79,18.63,48
ID,Idaho,40000,single,2620,3060,1011.72,0,6691.72,33308.28,16.73,22
IL,Illinois,40000,single,2620,3060,1835.21,0,7515.21,32484.79,18.79,49
IN,Indiana,40000,single,2620,3060,1150.5,0,6830.5,33169.5,17.08,30
IA,Iowa,40000,single,2620,3060,868.2,0,6548.2,33451.8,16.37,17
KS,Kansas,40000,single,2620,3060,1432.31,0,7112.31,32887.69,17.78,39
KY,Kentucky,40000,single,2620,3060,1282.4,0,6962.4,33037.6,17.41,36
LA,Louisiana,40000,single,2620,3060,813.75,0,6493.75,33506.25,16.23,15
ME,Maine,40000,single,2620,3060,1078.8,0,6758.8,33241.2,16.9,25
MD,Maryland,40000,single,2620,3060,1536.38,0,7216.38,32783.62,18.04,44
MA,Massachusetts,40000,single,2620,3060,1680,184,7544,32456,18.86,50
MI,Michigan,40000,single,2620,3060,1449.25,0,7129.25,32870.75,17.82,40
MN,Minnesota,40000,single,2620,3060,1321.45,176,7177.45,32822.55,17.94,42
MS,Mississippi,40000,single,2620,3060,868,0,6548,33452,16.37,16
MO,Missouri,40000,single,2620,3060,911.88,0,6591.88,33408.12,16.48,19
MT,Montana,40000,single,2620,3060,1123.3,0,6803.3,33196.7,17.01,29
NE,Nebraska,40000,single,2620,3060,940.46,0,6620.46,33379.54,16.55,20
NV,Nevada,40000,single,2620,3060,0,0,5680,34320,14.2,3
NH,New Hampshire,40000,single,2620,3060,0,0,5680,34320,14.2,4
NJ,New Jersey,40000,single,2620,3060,682.5,338,6700.5,33299.5,16.75,23
NM,New Mexico,40000,single,2620,3060,752.7,0,6432.7,33567.3,16.08,13
NY,New York,40000,single,2620,3060,1563,204.0,7447,32553,18.62,47
NC,North Carolina,40000,single,2620,3060,1087.27,0,6767.27,33232.72,16.92,27
ND,North Dakota,40000,single,2620,3060,0,0,5680,34320,14.2,5
OH,Ohio,40000,single,2620,3060,317.62,0,5997.62,34002.38,14.99,10
OK,Oklahoma,40000,single,2620,3060,1254.5,0,6934.5,33065.5,17.34,34
OR,Oregon,40000,single,2620,3060,2441.12,280,8401.12,31598.88,21.0,51
PA,Pennsylvania,40000,single,2620,3060,1228,28,6936,33064,17.34,35
RI,Rhode Island,40000,single,2620,3060,883.12,520,7083.12,32916.88,17.71,38
SC,South Carolina,40000,single,2620,3060,777.9,0,6457.9,33542.1,16.14,14
SD,South Dakota,40000,single,2620,3060,0,0,5680,34320,14.2,6
TN,Tennessee,40000,single,2620,3060,0,0,5680,34320,14.2,7
TX,Texas,40000,single,2620,3060,0,0,5680,34320,14.2,8
UT,Utah,40000,single,2620,3060,969.36,0,6649.36,33350.64,16.62,21
VT,Vermont,40000,single,2620,3060,906.18,0,6586.18,33413.82,16.47,18
VA,Virginia,40000,single,2620,3060,1485.9,0,7165.9,32834.1,17.91,41
WA,Washington,40000,single,2620,3060,0,554.88,6234.88,33765.12,15.59,11
WV,West Virginia,40000,single,2620,3060,1043.3,0,6723.3,33276.7,16.81,24
WI,Wisconsin,40000,single,2620,3060,1083.78,0,6763.78,33236.22,16.91,26
WY,Wyoming,40000,single,2620,3060,0,0,5680,34320,14.2,9
AL,Alabama,40000,married,780,3060,1481,0,5321,34679,13.3,48
AK,Alaska,40000,married,780,3060,0,0,3840,36160,9.6,1
AZ,Arizona,40000,married,780,3060,195,0,4035,35965,10.09,16
AR,Arkansas,40000,married,780,3060,1221.94,0,5061.94,34938.06,12.65,44
CA,California,40000,married,780,3060,44.18,520,4404.18,35595.82,11.01,30
CO,Colorado,40000,married,780,3060,343.2,180,4363.2,35636.8,10.91,26
CT,Connecticut,40000,married,780,3060,320,200,4360,35640,10.9,25
DE,Delaware,40000,married,780,3060,1252.75,0,5092.75,34907.25,12.73,45
DC,District of Columbia,40000,married,780,3060,312,0,4152,35848,10.38,18
FL,Florida,40000,married,780,3060,0,0,3840,36160,9.6,2
GA,Georgia,40000,married,780,3060,499,0,4339,35661,10.85,24
HI,Hawaii,40000,married,780,3060,582.16,200,4622.16,35377.84,11.56,35
ID,Idaho,40000,married,780,3060,0,0,3840,36160,9.6,3
IL,Illinois,40000,married,780,3060,1690.43,0,5530.43,34469.57,13.83,50
IN,Indiana,40000,married,780,3060,1121,0,4961,35039,12.4,40
IA,Iowa,40000,married,780,3060,216.4,0,4056.4,35943.6,10.14,17
KS,Kansas,40000,married,780,3060,698.88,0,4538.88,35461.12,11.35,33
KY,Kentucky,40000,married,780,3060,1164.8,0,5004.8,34995.2,12.51,41
LA,Louisiana,40000,married,780,3060,427.5,0,4267.5,35732.5,10.67,22
ME,Maine,40000,married,780,3060,0,0,3840,36160,9.6,4
MD,Maryland,40000,married,780,3060,1258.5,0,5098.5,34901.5,12.75,47
MA,Massachusetts,40000,married,780,3060,1460,184,5484,34516,13.71,49
MI,Michigan,40000,married,780,3060,1198.5,0,5038.5,34961.5,12.6,43
MN,Minnesota,40000,married,780,3060,502.9,176,4518.9,35481.1,11.3,32
MS,Mississippi,40000,married,780,3060,536,0,4376,35624,10.94,28
MO,Missouri,40000,married,780,3060,182.88,0,4022.88,35977.12,10.06,15
MT,Montana,40000,married,780,3060,366.6,0,4206.6,35793.4,10.52,21
NE,Nebraska,40000,married,780,3060,344,0,4184,35816,10.46,20
NV,Nevada,40000,married,780,3060,0,0,3840,36160,9.6,5
NH,New Hampshire,40000,married,780,3060,0,0,3840,36160,9.6,6
NJ,New Jersey,40000,married,780,3060,595,338,4773,35227,11.93,38
NM,New Mexico,40000,married,780,3060,117,0,3957,36043,9.89,13
NY,New York,40000,married,780,3060,970.68,204.0,5014.68,34985.32,12.54,42
NC,North Carolina,40000,married,780,3060,578.55,0,4418.55,35581.45,11.05,31
ND,North Dakota,40000,married,780,3060,0,0,3840,36160,9.6,7
OH,Ohio,40000,married,780,3060,317.62,0,4157.62,35842.38,10.39,19
OK,Oklahoma,40000,married,780,3060,731,0,4571,35429,11.43,34
OR,Oregon,40000,married,780,3060,1772.5,280,5892.5,34107.5,14.73,51
PA,Pennsylvania,40000,married,780,3060,1228,28,5096,34904,12.74,46
RI,Rhode Island,40000,married,780,3060,266.25,520,4626.25,35373.75,11.57,36
SC,South Carolina,40000,married,780,3060,124.8,0,3964.8,36035.2,9.91,14
SD,South Dakota,40000,married,780,3060,0,0,3840,36160,9.6,8
TN,Tennessee,40000,married,780,3060,0,0,3840,36160,9.6,9
TX,Texas,40000,married,780,3060,0,0,3840,36160,9.6,10
UT,Utah,40000,married,780,3060,0,0,3840,36160,9.6,11
VT,Vermont,40000,married,780,3060,472.35,0,4312.35,35687.65,10.78,23
VA,Virginia,40000,married,780,3060,929.3,0,4769.3,35230.7,11.92,37
WA,Washington,40000,married,780,3060,0,554.88,4394.88,35605.12,10.99,29
WV,West Virginia,40000,married,780,3060,980.1,0,4820.1,35179.9,12.05,39
WI,Wisconsin,40000,married,780,3060,523.78,0,4363.78,35636.22,10.91,27
WY,Wyoming,40000,married,780,3060,0,0,3840,36160,9.6,12
AL,Alabama,50000,single,3820,3825,2069,0,9714,40286,19.43,43
AK,Alaska,50000,single,3820,3825,0,0,7645,42355,15.29,1
AZ,Arizona,50000,single,3820,3825,847.5,0,8492.5,41507.5,16.98,12
AR,Arkansas,50000,single,3820,3825,1737.27,0,9382.27,40617.73,18.76,35
CA,California,50000,single,3820,3825,1039.53,650,9334.53,40665.47,18.67,32
CO,Colorado,50000,single,3820,3825,1491.6,225.0,9361.6,40638.4,18.72,34
CT,Connecticut,50000,single,3820,3825,2000,250,9895,40105,19.79,46
DE,Delaware,50000,single,3820,3825,2098.12,0,9743.12,40256.88,19.49,45
DC,District of Columbia,50000,single,3820,3825,1834,0,9479,40521,18.96,37
FL,Florida,50000,single,3820,3825,0,0,7645,42355,15.29,2
GA,Georgia,50000,single,3820,3825,1746.5,0,9391.5,40608.5,18.78,36
HI,Hawaii,50000,single,3820,3825,2284.03,250,10179.03,39820.97,20.36,50
ID,Idaho,50000,single,3820,3825,1541.72,0,9186.72,40813.28,18.37,24
IL,Illinois,50000,single,3820,3825,2330.21,0,9975.21,40024.79,19.95,47
IN,Indiana,50000,single,3820,3825,1445.5,0,9090.5,40909.5,18.18,22
IA,Iowa,50000,single,3820,3825,1248.2,0,8893.2,41106.8,17.79,16
KS,Kansas,50000,single,3820,3825,1990.31,0,9635.31,40364.69,19.27,40
KY,Kentucky,50000,single,3820,3825,1632.4,0,9277.4,40722.6,18.55,30
LA,Louisiana,50000,single,3820,3825,1113.75,0,8758.75,41241.25,17.52,13
ME,Maine,50000,single,3820,3825,1670.21,0,9315.21,40684.79,18.63,31
MD,Maryland,50000,single,3820,3825,2011.38,0,9656.38,40343.62,19.31,41
MA,Massachusetts,50000,single,3820,3825,2180,230,10055,39945,20.11,49
MI,Michigan,50000,single,3820,3825,1874.25,0,9519.25,40480.75,19.04,38
MN,Minnesota,50000,single,3820,3825,1876.61,220,9741.6,40258.4,19.48,44
MS,Mississippi,50000,single,3820,3825,1268,0,8913,41087,17.83,17
MO,Missouri,50000,single,3820,3825,1367.78,0,9012.78,40987.22,18.03,18
MT,Montana,50000,single,3820,3825,1593.3,0,9238.3,40761.7,18.48,28
NE,Nebraska,50000,single,3820,3825,1395.46,0,9040.46,40959.54,18.08,20
NV,Nevada,50000,single,3820,3825,0,0,7645,42355,15.29,3
NH,New Hampshire,50000,single,3820,3825,0,0,7645,42355,15.29,4
